DATE,VIX PX_LAST,XAU PX_LAST,CL1 PX_LAST,DXY PX_LAST,USGG10Y PX_LAST
1990-09-07,28.73,384.6,30.04,86.05,8.789
1990-09-10,29.34,384.5,31.3,86.68,8.834
1990-09-11,28.38,378.5,30.76,86.9,8.793
1990-09-12,28.12,382.05,30.97,86.94,8.803
1990-09-13,29.33,382.2,31.07,85.79,8.822
1990-09-14,30.56,386.2,31.76,85.72,8.868
1990-09-17,29.55,389.4,33.63,84.92,8.897
1990-09-18,28.82,386.0,33.41,85.24,8.904
1990-09-19,27.88,386.5,33.18,85.98,8.872
1990-09-20,28.66,386.95,34.71,86.22,8.899
1990-09-21,30.04,,35.43,86.31,8.977
1990-09-24,30.56,392.5,38.25,85.48,9.03
1990-09-25,28.81,403.75,37.53,85.96,8.991
1990-09-26,28.19,402.7,38.67,85.75,8.977
1990-09-27,28.67,403.95,39.54,85.72,8.87
1990-09-28,29.11,408.4,39.51,85.91,8.795
1990-10-01,28.06,396.3,37.09,85.43,8.725
1990-10-02,27.28,387.85,33.95,85.1,8.68
1990-10-03,27.9,389.4,37.32,84.71,8.718
1990-10-04,27.51,395.75,36.93,84.13,8.647
1990-10-05,27.85,395.6,37.99,84.24,8.642
1990-10-08,28.04,390.8,38.95,83.57,8.665
1990-10-09,30.71,397.0,40.4,83.21,8.807
1990-10-10,31.19,391.8,38.69,83.29,8.906
1990-10-11,33.98,388.0,40.42,82.79,8.918
1990-10-12,31.94,388.25,39.69,83.16,8.807
1990-10-15,31.64,380.7,37.95,83.25,8.79
1990-10-16,31.45,364.75,38.89,82.59,8.751
1990-10-17,31.37,366.0,36.72,82.56,8.742
1990-10-18,29.6,367.85,36.8,81.96,8.677
1990-10-19,27.86,372.0,33.79,82.3,8.612
1990-10-22,27.27,367.5,28.38,82.96,8.617
1990-10-23,27.57,371.65,29.37,83.16,8.662
1990-10-24,28.28,371.1,31.08,82.48,8.639
1990-10-25,29.04,375.05,34.25,83.04,8.617
1990-10-26,30.75,373.7,33.01,82.88,8.626
1990-10-29,31.54,372.7,34.68,83.24,8.689
1990-10-30,30.52,373.75,34.54,82.99,8.679
1990-10-31,30.04,379.5,35.23,83.27,8.617
1990-11-01,30.25,380.4,35.17,82.82,8.548
1990-11-02,30.03,377.5,34.0,82.22,8.562
1990-11-05,29.85,376.9,31.96,81.71,8.489
1990-11-06,29.11,379.25,32.63,82.11,8.508
1990-11-07,30.87,385.0,35.31,82.04,8.55
1990-11-08,30.79,384.75,35.53,82.32,8.547
1990-11-09,26.96,385.7,33.89,82.12,8.467
1990-11-12,25.6,380.7,31.87,81.71,8.415
1990-11-13,24.58,383.5,33.12,81.85,8.383
1990-11-14,22.89,383.9,31.16,81.63,8.36
1990-11-15,22.57,378.0,31.12,81.84,8.36
1990-11-16,21.34,376.3,29.78,81.59,8.297
1990-11-19,20.95,377.8,31.5,81.54,8.35
1990-11-20,20.09,380.0,28.91,81.63,8.303
1990-11-21,21.09,377.3,29.63,81.51,8.259
1990-11-22,,380.0,,,8.273
1990-11-23,20.98,383.6,31.9,81.86,8.284
1990-11-26,22.76,386.9,32.95,82.1,8.275
1990-11-27,22.86,383.8,32.86,81.71,8.277
1990-11-28,22.96,385.0,33.28,82.23,8.286
1990-11-29,23.91,386.8,32.91,83.21,8.335
1990-11-30,22.16,384.85,28.85,82.94,8.252
1990-12-03,22.29,380.65,29.15,83.82,8.212
1990-12-04,22.03,377.6,30.66,83.23,8.164
1990-12-05,20.94,376.0,27.29,83.21,8.159
1990-12-06,22.62,370.0,26.4,82.71,8.17
1990-12-07,22.59,370.8,26.58,81.93,8.022
1990-12-10,23.58,374.05,26.9,82.1,7.963
1990-12-11,23.75,372.1,26.41,82.33,7.918
1990-12-12,21.28,370.9,25.35,82.13,7.904
1990-12-13,23.05,372.0,26.42,82.31,7.96
1990-12-14,23.85,373.2,26.55,82.58,8.03
1990-12-17,24.85,376.3,27.05,82.78,8.005
1990-12-18,23.11,377.4,27.86,82.34,7.892
1990-12-19,23.08,378.9,27.86,82.61,7.993
1990-12-20,23.13,385.45,26.39,83.89,8.05
1990-12-21,22.66,383.75,25.92,84.7,8.107
1990-12-24,24.03,,25.92,85.29,8.185
1990-12-25,,,,,8.182
1990-12-26,24.18,,27.22,85.03,8.122
1990-12-27,24.81,382.8,27.01,84.73,8.086
1990-12-28,25.05,,27.57,83.26,8.129
1990-12-31,26.38,,28.44,83.12,8.067
1991-01-02,26.62,390.8,26.49,82.81,
1991-01-03,27.93,386.3,25.48,82.81,7.928
1991-01-04,27.19,387.4,24.9,83.36,8.014
1991-01-07,28.95,391.1,27.65,84.67,8.123
1991-01-08,30.38,389.7,27.17,84.95,8.174
1991-01-09,33.3,387.1,27.26,84.53,8.25
1991-01-10,31.33,390.55,27.71,84.19,8.125
1991-01-11,32.63,390.6,27.29,84.29,8.171
1991-01-14,36.2,398.6,30.78,84.83,8.174
1991-01-15,36.16,398.5,30.07,84.85,8.201
1991-01-16,33.2,403.0,32.0,85.11,8.229
1991-01-17,27.45,379.0,21.44,83.37,8.047
1991-01-18,25.39,378.25,19.25,82.94,8.017
1991-01-21,24.33,378.2,21.3,82.59,8.044
1991-01-22,24.9,381.0,24.18,82.79,8.072
1991-01-23,23.92,378.3,22.04,82.21,8.019
1991-01-24,22.86,373.0,21.71,82.46,7.978
1991-01-25,22.2,374.25,21.35,82.63,8.037
1991-01-28,23.05,374.5,20.96,82.41,8.039
1991-01-29,23.17,376.8,21.85,82.7,8.025
1991-01-30,21.37,367.1,20.97,82.34,8.036
1991-01-31,20.91,366.0,21.54,82.0,8.007
1991-02-01,21.04,364.5,21.34,81.64,7.909
1991-02-04,21.86,367.15,21.14,81.38,7.859
1991-02-05,21.46,366.6,20.66,81.06,7.852
1991-02-06,22.68,360.75,21.49,80.52,7.82
1991-02-07,23.6,363.9,21.22,80.87,7.834
1991-02-08,23.38,370.0,21.92,80.84,7.772
1991-02-11,22.56,366.85,22.47,80.49,7.772
1991-02-12,22.26,364.4,22.93,80.89,7.775
1991-02-13,20.86,366.75,22.56,81.23,7.763
1991-02-14,21.48,368.15,22.32,81.36,7.791
1991-02-15,19.57,365.5,20.88,81.92,7.784
1991-02-18,,363.75,,,7.765
1991-02-19,19.84,363.0,20.07,82.61,7.809
1991-02-20,22.26,364.65,20.48,82.67,7.859
1991-02-21,20.78,362.25,18.5,82.47,7.859
1991-02-22,21.01,358.8,17.91,83.12,7.898
1991-02-25,22.86,357.65,17.94,83.85,7.884
1991-02-26,20.38,359.25,18.37,83.93,7.961
1991-02-27,21.26,360.0,18.86,83.84,7.965
1991-02-28,21.23,362.7,19.16,84.07,8.033
1991-03-01,,366.9,19.38,84.84,8.12
1991-03-04,20.86,365.45,20.25,84.73,8.127
1991-03-05,20.45,364.5,20.43,85.05,8.073
1991-03-06,20.55,366.2,19.73,84.94,8.108
1991-03-07,21.05,366.5,19.42,85.24,8.052
1991-03-08,20.81,368.5,19.31,86.31,8.129
1991-03-11,20.88,365.85,18.99,86.9,8.049
1991-03-12,18.82,364.25,19.68,86.21,8.089
1991-03-13,16.09,366.0,20.45,86.35,8.005
1991-03-14,14.94,364.6,20.27,86.72,8.021
1991-03-15,14.9,366.0,20.01,87.9,8.094
1991-03-18,15.79,362.3,19.76,88.87,8.144
1991-03-19,16.11,364.5,20.61,89.64,8.234
1991-03-20,16.04,364.5,20.38,89.41,8.167
1991-03-21,16.86,362.35,20.49,88.87,8.139
1991-03-22,16.49,,20.1,89.47,8.123
1991-03-25,16.76,359.25,19.62,91.08,8.127
1991-03-26,16.31,356.6,19.76,91.04,8.113
1991-03-27,16.55,354.05,19.41,91.87,8.057
1991-03-28,16.88,355.65,19.63,92.01,8.054
1991-03-29,,,,,8.061
1991-04-01,17.42,,19.29,90.55,8.066
1991-04-02,17.4,357.5,19.7,90.35,8.024
1991-04-03,17.61,359.2,19.47,90.46,8.045
1991-04-04,18.01,358.4,19.98,89.93,7.996
1991-04-05,17.63,358.5,19.96,90.64,7.982
1991-04-08,17.41,361.0,20.31,90.96,7.968
1991-04-09,20.12,364.0,20.26,89.62,8.019
1991-04-10,19.73,363.65,21.05,90.52,8.083
1991-04-11,17.24,361.75,20.89,89.94,8.069
1991-04-12,18.45,361.95,21.48,90.36,7.968
1991-04-15,16.5,360.1,21.91,89.64,7.961
1991-04-16,15.82,361.2,21.64,89.57,7.951
1991-04-17,15.47,360.65,21.71,89.84,7.942
1991-04-18,16.26,359.15,21.08,91.35,8.027
1991-04-19,15.68,356.15,21.13,92.71,8.102
1991-04-22,16.78,356.4,21.62,93.81,8.148
1991-04-23,17.02,355.5,20.88,92.93,8.117
1991-04-24,16.72,355.8,20.94,93.15,8.048
1991-04-25,17.15,353.25,21.15,93.26,8.072
1991-04-26,17.27,353.25,21.28,93.46,8.046
1991-04-29,18.27,351.1,21.26,93.31,8.062
1991-04-30,18.24,357.75,20.96,91.54,8.013
1991-05-01,17.77,356.5,21.25,91.86,7.996
1991-05-02,17.52,354.15,21.17,92.26,7.942
1991-05-03,17.24,355.5,21.37,93.41,8.041
1991-05-06,17.92,,21.68,92.69,8.032
1991-05-07,17.46,356.15,21.63,92.07,8.058
1991-05-08,17.78,356.9,21.78,92.6,8.042
1991-05-09,17.17,356.85,21.93,92.51,8.016
1991-05-10,17.54,356.7,21.27,92.38,8.101
1991-05-13,17.66,356.85,20.91,92.01,8.062
1991-05-14,18.0,357.95,20.74,91.29,8.127
1991-05-15,18.38,359.85,20.92,90.79,8.127
1991-05-16,17.24,356.0,20.89,91.15,8.131
1991-05-17,16.64,355.1,21.18,92.95,8.083
1991-05-20,17.1,355.0,21.37,92.72,8.085
1991-05-21,16.07,356.3,21.4,91.82,8.05
1991-05-22,16.16,356.75,20.83,92.27,8.066
1991-05-23,16.11,354.9,21.02,91.9,8.082
1991-05-24,15.23,355.8,21.19,91.68,8.085
1991-05-27,,,,,8.082
1991-05-28,15.67,355.65,21.33,91.17,8.061
1991-05-29,15.9,361.5,21.11,92.02,8.061
1991-05-30,16.02,361.05,21.32,92.18,8.013
1991-05-31,15.93,360.4,21.13,93.15,8.059
1991-06-03,16.87,363.0,21.13,93.44,8.143
1991-06-04,16.17,362.4,21.02,93.27,8.128
1991-06-05,16.4,362.4,20.47,93.49,8.18
1991-06-06,16.93,364.85,20.33,93.7,8.222
1991-06-07,16.98,367.0,20.28,94.56,8.279
1991-06-10,17.47,372.2,19.84,94.56,8.284
1991-06-11,17.32,371.25,19.96,94.85,8.286
1991-06-12,17.72,372.0,20.05,95.56,8.364
1991-06-13,16.99,369.7,19.71,95.91,8.322
1991-06-14,15.98,367.75,19.67,95.79,8.269
1991-06-17,15.5,366.8,19.94,95.78,8.305
1991-06-18,16.14,370.25,20.13,96.73,8.317
1991-06-19,17.44,367.4,19.99,95.6,8.317
1991-06-20,16.75,367.6,20.15,95.45,8.274
1991-06-21,16.51,366.25,20.23,95.91,8.317
1991-06-24,18.28,360.9,19.98,95.05,8.326
1991-06-25,17.85,363.35,20.05,95.55,8.329
1991-06-26,17.98,366.1,20.08,95.3,8.336
1991-06-27,17.87,364.8,20.48,95.5,8.305
1991-06-28,19.55,368.35,20.56,96.03,8.227
1991-07-01,18.64,368.9,20.76,96.81,8.258
1991-07-02,17.63,367.1,20.82,97.15,8.26
1991-07-03,19.47,369.25,20.67,97.07,8.246
1991-07-04,,369.25,,,8.255
1991-07-05,18.35,369.9,20.89,96.72,8.334
1991-07-08,20.29,370.25,21.24,96.03,8.324
1991-07-09,19.76,369.2,21.29,96.48,8.353
1991-07-10,19.19,370.9,21.43,96.35,8.327
1991-07-11,17.39,368.3,21.29,97.18,8.284
1991-07-12,18.29,367.85,21.72,95.15,8.258
1991-07-15,17.78,367.8,21.47,95.21,8.27
1991-07-16,17.49,368.7,21.65,95.64,8.26
1991-07-17,17.52,368.9,22.14,95.24,8.31
1991-07-18,15.77,369.0,21.94,94.66,8.282
1991-07-19,15.5,370.0,22.16,93.48,8.28
1991-07-22,16.9,369.75,21.72,94.17,8.28
1991-07-23,16.58,367.4,21.32,94.0,8.301
1991-07-24,16.41,366.0,21.52,93.23,8.232
1991-07-25,15.74,364.9,21.46,94.19,8.187
1991-07-26,15.45,364.1,21.48,93.52,8.197
1991-07-29,15.67,365.1,21.35,93.68,8.197
1991-07-30,15.47,361.35,21.42,94.0,8.192
1991-07-31,15.18,362.85,21.68,93.49,8.147
1991-08-01,15.47,363.4,21.27,93.97,8.161
1991-08-02,15.26,357.8,21.32,93.33,8.053
1991-08-05,15.92,356.5,21.47,92.39,8.027
1991-08-06,15.54,357.0,21.37,91.97,7.966
1991-08-07,15.56,356.8,21.36,92.02,7.957
1991-08-08,15.98,357.6,21.58,92.3,7.985
1991-08-09,15.45,358.2,21.62,92.87,7.973
1991-08-12,15.26,358.2,21.69,92.7,7.948
1991-08-13,14.73,356.8,21.58,93.0,7.907
1991-08-14,15.09,355.85,21.27,93.21,7.811
1991-08-15,15.19,358.35,21.44,93.68,7.838
1991-08-16,16.01,357.75,21.3,94.38,7.824
1991-08-19,21.19,361.2,22.47,96.46,7.838
1991-08-20,18.86,353.8,22.27,95.46,7.801
1991-08-21,15.62,356.3,21.55,93.23,7.785
1991-08-22,14.59,356.2,21.72,92.9,7.781
1991-08-23,14.41,353.7,21.81,93.58,7.87
1991-08-26,14.81,,21.97,93.56,7.911
1991-08-27,15.46,353.8,21.98,93.6,7.911
1991-08-28,15.31,354.5,21.74,93.1,7.815
1991-08-29,14.82,351.25,21.97,93.37,7.755
1991-08-30,14.46,347.4,22.26,93.49,7.816
1991-09-02,,347.95,,,7.81
1991-09-03,16.57,347.35,22.24,92.95,7.794
1991-09-04,17.18,348.7,21.81,92.92,7.812
1991-09-05,17.31,347.4,21.69,93.0,7.844
1991-09-06,16.76,348.05,21.57,92.12,7.755
1991-09-09,17.73,350.55,21.33,91.16,7.721
1991-09-10,18.22,351.7,21.41,91.16,7.72
1991-09-11,17.96,345.25,21.64,90.95,7.732
1991-09-12,16.21,344.75,21.53,90.77,7.632
1991-09-13,17.88,344.25,21.68,90.95,7.641
1991-09-16,17.82,345.4,21.82,90.34,7.63
1991-09-17,17.68,346.15,21.62,90.24,7.607
1991-09-18,17.56,348.3,21.84,90.83,7.607
1991-09-19,17.56,348.6,21.76,90.93,7.602
1991-09-20,17.08,348.6,21.97,90.77,7.571
1991-09-23,16.38,349.25,22.07,90.15,7.551
1991-09-24,16.04,351.9,22.19,90.85,7.562
1991-09-25,15.68,352.75,22.21,90.51,7.573
1991-09-26,15.35,351.9,22.21,90.83,7.544
1991-09-27,16.31,348.45,22.32,90.07,7.481
1991-09-30,15.85,354.9,22.23,89.9,7.445
1991-10-01,14.81,353.95,22.22,90.02,7.429
1991-10-02,15.81,356.0,22.33,89.82,7.467
1991-10-03,17.04,356.8,22.67,89.52,7.467
1991-10-04,15.63,356.3,22.61,90.06,7.385
1991-10-07,18.58,359.7,22.98,90.13,7.389
1991-10-08,17.81,357.6,22.99,91.19,7.433
1991-10-09,18.54,357.65,23.16,90.6,7.513
1991-10-10,17.8,359.5,22.98,90.81,7.565
1991-10-11,17.6,357.75,23.09,90.5,7.45
1991-10-14,16.71,358.5,23.46,90.92,7.457
1991-10-15,16.22,357.55,23.86,91.52,7.426
1991-10-16,14.85,356.55,23.67,91.25,7.448
1991-10-17,16.32,358.3,23.93,90.75,7.569
1991-10-18,15.87,359.6,24.14,90.43,7.506
1991-10-21,16.66,363.8,24.04,90.74,7.627
1991-10-22,16.55,362.35,23.48,91.03,7.675
1991-10-23,16.26,362.2,23.26,91.62,7.679
1991-10-24,15.62,361.0,23.49,91.08,7.643
1991-10-25,15.75,362.0,23.12,91.11,7.672
1991-10-28,15.45,358.5,23.21,91.89,7.64
1991-10-29,15.55,357.4,23.11,90.48,7.491
1991-10-30,15.46,359.35,23.11,89.91,7.469
1991-10-31,15.48,357.45,23.37,89.94,7.46
1991-11-01,15.6,357.75,23.82,88.73,7.473
1991-11-04,16.35,356.35,23.8,88.44,7.493
1991-11-05,16.48,356.55,23.78,88.5,7.552
1991-11-06,16.47,354.5,23.4,88.44,7.527
1991-11-07,15.97,354.5,23.2,88.71,7.426
1991-11-08,15.43,352.9,23.01,88.91,7.417
1991-11-11,14.89,354.9,22.58,88.65,7.399
1991-11-12,14.04,354.75,22.5,88.7,7.348
1991-11-13,13.95,356.55,22.35,88.42,7.399
1991-11-14,13.96,355.85,22.52,88.27,7.346
1991-11-15,21.18,355.5,22.79,87.86,7.306
1991-11-18,18.28,360.75,22.4,87.5,7.339
1991-11-19,20.34,363.0,22.0,87.06,7.372
1991-11-20,20.4,362.6,22.22,87.12,7.363
1991-11-21,19.11,364.3,21.78,87.14,7.403
1991-11-22,21.2,367.95,21.21,86.63,7.445
1991-11-25,21.92,369.1,21.42,86.65,7.461
1991-11-26,19.8,366.25,21.02,87.6,7.405
1991-11-27,19.84,367.1,21.35,87.84,7.411
1991-11-28,,366.05,,,7.416
1991-11-29,20.26,366.3,21.48,88.19,7.376
1991-12-02,20.18,368.35,21.08,87.74,7.304
1991-12-03,19.7,362.9,20.51,87.51,7.275
1991-12-04,19.54,365.25,20.76,87.1,7.187
1991-12-05,20.19,364.75,20.39,86.68,7.236
1991-12-06,19.04,367.75,20.04,85.75,7.231
1991-12-09,19.74,370.7,19.42,86.01,7.226
1991-12-10,19.89,368.05,19.41,86.25,7.209
1991-12-11,20.57,366.5,19.51,86.26,7.206
1991-12-12,19.08,359.5,19.96,86.48,7.18
1991-12-13,17.88,359.05,20.05,86.62,7.206
1991-12-16,17.62,359.65,19.76,86.02,7.195
1991-12-17,18.12,357.4,19.45,85.89,7.177
1991-12-18,17.78,357.9,19.39,85.88,7.186
1991-12-19,17.96,358.9,19.13,85.48,7.081
1991-12-20,17.65,358.3,18.52,84.46,6.963
1991-12-23,16.61,359.65,18.78,83.72,6.864
1991-12-24,15.67,,18.97,83.85,6.875
1991-12-25,,,,,6.879
1991-12-26,15.44,,18.5,83.31,6.842
1991-12-27,15.7,353.3,18.76,83.67,6.823
1991-12-30,17.63,353.15,18.65,83.74,6.716
1991-12-31,19.31,,19.12,83.53,6.699
1992-01-02,18.95,350.9,19.49,83.88,6.782
